Iteration n, Sampletime t (sec), Signal x[n] (real, img), Output y[n] (real, img), Actual_Output y(t) (real, img), Difference y(t)-y[n] (real, img)

Square Error : 0.0719836

n:    0, t: 0.000000, x[n]:   (1.000000,0.000000), y[n]:   (1.000000,0.000000), y(t):  (0.999991,-0.002984), diff: (-0.000009,-0.002984)
n:    1, t: 0.000125, x[n]:  (-0.707107,0.707107), y[n]:  (-0.704948,0.706212), y(t):  (-0.704991,0.709210), diff:  (-0.000043,0.002998)
n:    2, t: 0.000250, x[n]:  (0.000000,-1.000000), y[n]: (-0.000891,-0.997842), y(t): (-0.002984,-0.999991), diff: (-0.002092,-0.002149)
n:    3, t: 0.000375, x[n]:   (0.707106,0.707107), y[n]:   (0.706211,0.704951), y(t):   (0.709210,0.704991), diff:   (0.002999,0.000040)
n:    4, t: 0.000500, x[n]: (-1.000000,-0.000001), y[n]:  (-0.997842,0.000891), y(t):  (-0.999991,0.002983), diff:  (-0.002149,0.002092)
n:    5, t: 0.000625, x[n]:  (0.707107,-0.707106), y[n]:  (0.704951,-0.706211), y(t):  (0.704991,-0.709210), diff:  (0.000040,-0.002999)
n:    6, t: 0.000750, x[n]:  (-0.000001,1.000000), y[n]:   (0.000891,0.997842), y(t):   (0.002983,0.999991), diff:   (0.002092,0.002149)
n:    7, t: 0.000875, x[n]: (-0.707106,-0.707107), y[n]: (-0.706211,-0.704951), y(t): (-0.709210,-0.704991), diff: (-0.002999,-0.000040)
n:    8, t: 0.001000, x[n]:   (1.000000,0.000002), y[n]:  (0.997842,-0.000890), y(t):  (0.999991,-0.002982), diff:  (0.002149,-0.002092)
n:    9, t: 0.001125, x[n]:  (-0.707109,0.707105), y[n]:  (-0.704952,0.706209), y(t):  (-0.704992,0.709209), diff:  (-0.000040,0.002999)
n:   10, t: 0.001250, x[n]:  (0.000002,-1.000000), y[n]: (-0.000890,-0.997842), y(t): (-0.002982,-0.999991), diff: (-0.002092,-0.002149)
n:   11, t: 0.001375, x[n]:   (0.707105,0.707109), y[n]:   (0.706209,0.704952), y(t):   (0.709208,0.704992), diff:   (0.002999,0.000040)
n:   12, t: 0.001500, x[n]: (-1.000000,-0.000002), y[n]:  (-0.997842,0.000890), y(t):  (-0.999991,0.002982), diff:  (-0.002149,0.002092)
