Iteration n, Sampletime t (sec), Signal x[n] (real, img), Output y[n] (real, img), Actual_Output y(t) (real, img), Difference y(t)-y[n] (real, img)

Square Error : 0.053875
n:   37, t: 0.009250, x[n]:  (0.000006,-1.000000), y[n]:  (0.000639,-0.999367), y(t): (-0.002978,-0.999991), diff: (-0.003617,-0.000624)
n:   38, t: 0.009500, x[n]: (-1.000000,-0.000020), y[n]: (-0.999367,-0.000652), y(t):  (-0.999991,0.002965), diff:  (-0.000624,0.003617)
n:   39, t: 0.009750, x[n]:  (-0.000018,1.000000), y[n]:  (-0.000650,0.999367), y(t):   (0.002966,0.999991), diff:   (0.003617,0.000624)
n:   40, t: 0.010000, x[n]:   (1.000000,0.000016), y[n]:   (0.999367,0.000648), y(t):  (0.999991,-0.002968), diff:  (0.000624,-0.003617)
n:   41, t: 0.010250, x[n]:  (0.000014,-1.000000), y[n]:  (0.000646,-0.999367), y(t): (-0.002970,-0.999991), diff: (-0.003617,-0.000624)
n:   42, t: 0.010500, x[n]: (-1.000000,-0.000027), y[n]: (-0.999367,-0.000660), y(t):  (-0.999991,0.002957), diff:  (-0.000624,0.003617)
n:   43, t: 0.010750, x[n]:  (-0.000010,1.000000), y[n]:  (-0.000642,0.999367), y(t):   (0.002974,0.999991), diff:   (0.003617,0.000624)
n:   44, t: 0.011000, x[n]:   (1.000000,0.000023), y[n]:   (0.999367,0.000656), y(t):  (0.999991,-0.002961), diff:  (0.000624,-0.003617)
n:   45, t: 0.011250, x[n]:  (0.000022,-1.000000), y[n]:  (0.000654,-0.999367), y(t): (-0.002963,-0.999991), diff: (-0.003617,-0.000624)
n:   46, t: 0.011500, x[n]: (-1.000000,-0.000020), y[n]: (-0.999367,-0.000652), y(t):  (-0.999991,0.002965), diff:  (-0.000624,0.003617)
n:   47, t: 0.011750, x[n]:  (-0.000018,1.000000), y[n]:  (-0.000650,0.999367), y(t):   (0.002966,0.999991), diff:   (0.003617,0.000624)
n:   48, t: 0.012000, x[n]:   (1.000000,0.000016), y[n]:   (0.999367,0.000648), y(t):  (0.999991,-0.002968), diff:  (0.000624,-0.003617)
n:   49, t: 0.012250, x[n]:  (0.000014,-1.000000), y[n]:  (0.000646,-0.999367), y(t): (-0.002970,-0.999991), diff: (-0.003617,-0.000624)
n:   50, t: 0.012500, x[n]: (-1.000000,-0.000012), y[n]: (-0.999367,-0.000644), y(t):  (-0.999991,0.002972), diff:  (-0.000624,0.003617)
n:   51, t: 0.012750, x[n]:  (-0.000025,1.000000), y[n]:  (-0.000658,0.999367), y(t):   (0.002959,0.999991), diff:   (0.003617,0.000624)
n:   52, t: 0.013000, x[n]:   (1.000000,0.000008), y[n]:   (0.999367,0.000641), y(t):  (0.999991,-0.002976), diff:  (0.000624,-0.003617)
n:   53, t: 0.013250, x[n]:  (0.000022,-1.000000), y[n]:  (0.000654,-0.999367), y(t): (-0.002963,-0.999991), diff: (-0.003617,-0.000624)
n:   54, t: 0.013500, x[n]: (-1.000000,-0.000020), y[n]: (-0.999367,-0.000652), y(t):  (-0.999991,0.002964), diff:  (-0.000624,0.003617)
n:   55, t: 0.013750, x[n]:  (-0.000033,1.000000), y[n]:  (-0.000666,0.999367), y(t):   (0.002951,0.999991), diff:   (0.003617,0.000624)
n:   56, t: 0.014000, x[n]:   (1.000000,0.000016), y[n]:   (0.999367,0.000648), y(t):  (0.999991,-0.002968), diff:  (0.000624,-0.003617)
n:   57, t: 0.014250, x[n]:  (0.000029,-1.000000), y[n]:  (0.000662,-0.999367), y(t): (-0.002955,-0.999991), diff: (-0.003617,-0.000624)
