Iteration n, Sampletime t (sec), Signal x[n] (real, img), Output y[n] (real, img), Actual_Output y(t) (real, img), Difference y(t)-y[n] (real, img)

Square Error : 3.12259e-05

n:    0, t: 0.000000, x[n]:   (1.000000,0.000000), y[n]:   (1.000000,0.000000), y(t):  (1.000000,-0.000398), diff: (-0.000000,-0.000398)
n:    1, t: 0.000125, x[n]:   (0.951057,0.309017), y[n]:   (0.951119,0.308626), y(t):   (0.951179,0.308639), diff:   (0.000061,0.000012)
n:    2, t: 0.000250, x[n]:   (0.809017,0.587785), y[n]:   (0.809197,0.587432), y(t):   (0.809251,0.587463), diff:   (0.000054,0.000031)
n:    3, t: 0.000375, x[n]:   (0.587785,0.809017), y[n]:   (0.588065,0.808737), y(t):   (0.588107,0.808783), diff:   (0.000042,0.000046)
n:    4, t: 0.000500, x[n]:   (0.309017,0.951057), y[n]:   (0.309370,0.950877), y(t):   (0.309395,0.950933), diff:   (0.000025,0.000057)
n:    5, t: 0.000625, x[n]:  (-0.000000,1.000000), y[n]:   (0.000391,0.999938), y(t):   (0.000398,1.000000), diff:   (0.000007,0.000062)
n:    6, t: 0.000750, x[n]:  (-0.309017,0.951056), y[n]:  (-0.308626,0.951118), y(t):  (-0.308639,0.951179), diff:  (-0.000013,0.000061)
n:    7, t: 0.000875, x[n]:  (-0.587785,0.809017), y[n]:  (-0.587432,0.809197), y(t):  (-0.587463,0.809251), diff:  (-0.000031,0.000054)
n:    8, t: 0.001000, x[n]:  (-0.809017,0.587785), y[n]:  (-0.808737,0.588065), y(t):  (-0.808783,0.588107), diff:  (-0.000046,0.000042)
n:    9, t: 0.001125, x[n]:  (-0.951057,0.309017), y[n]:  (-0.950877,0.309370), y(t):  (-0.950934,0.309395), diff:  (-0.000057,0.000025)
n:   10, t: 0.001250, x[n]: (-1.000000,-0.000000), y[n]:  (-0.999938,0.000391), y(t):  (-1.000000,0.000398), diff:  (-0.000062,0.000007)
