Iteration n, Sampletime t (sec), Signal x[n] (real, img), Output y[n] (real, img), Actual_Output y(t) (real, img), Difference y(t)-y[n] (real, img)
n:   24, t: 0.003000, x[n]:  (-0.309017,0.951056), y[n]:  (-0.308921,0.951084), y(t):  (-0.308922,0.951087), diff:  (-0.000001,0.000004)
n:   25, t: 0.003125, x[n]:  (-0.382684,0.923880), y[n]:  (-0.382590,0.923914), y(t):  (-0.382592,0.923918), diff:  (-0.000001,0.000004)
n:   26, t: 0.003250, x[n]:  (-0.453991,0.891006), y[n]:  (-0.453900,0.891048), y(t):  (-0.453902,0.891052), diff:  (-0.000002,0.000004)
n:   27, t: 0.003375, x[n]:  (-0.522499,0.852640), y[n]:  (-0.522412,0.852689), y(t):  (-0.522414,0.852692), diff:  (-0.000002,0.000003)
n:   28, t: 0.003500, x[n]:  (-0.587785,0.809017), y[n]:  (-0.587703,0.809072), y(t):  (-0.587705,0.809075), diff:  (-0.000002,0.000003)
n:   29, t: 0.003625, x[n]:  (-0.649448,0.760406), y[n]:  (-0.649370,0.760467), y(t):  (-0.649373,0.760470), diff:  (-0.000002,0.000003)
n:   30, t: 0.003750, x[n]:  (-0.707107,0.707107), y[n]:  (-0.707034,0.707174), y(t):  (-0.707037,0.707177), diff:  (-0.000003,0.000003)
n:   31, t: 0.003875, x[n]:  (-0.760406,0.649448), y[n]:  (-0.760338,0.649521), y(t):  (-0.760341,0.649524), diff:  (-0.000003,0.000003)
n:   32, t: 0.004000, x[n]:  (-0.809017,0.587785), y[n]:  (-0.808956,0.587863), y(t):  (-0.808959,0.587866), diff:  (-0.000003,0.000002)
n:   33, t: 0.004125, x[n]:  (-0.852640,0.522498), y[n]:  (-0.852585,0.522581), y(t):  (-0.852588,0.522583), diff:  (-0.000003,0.000002)
n:   34, t: 0.004250, x[n]:  (-0.891007,0.453990), y[n]:  (-0.890958,0.454077), y(t):  (-0.890961,0.454079), diff:  (-0.000003,0.000002)
n:   35, t: 0.004375, x[n]:  (-0.923880,0.382683), y[n]:  (-0.923838,0.382774), y(t):  (-0.923842,0.382775), diff:  (-0.000004,0.000002)
n:   36, t: 0.004500, x[n]:  (-0.951057,0.309017), y[n]:  (-0.951022,0.309110), y(t):  (-0.951026,0.309111), diff:  (-0.000004,0.000001)
n:   37, t: 0.004625, x[n]:  (-0.972370,0.233445), y[n]:  (-0.972343,0.233541), y(t):  (-0.972347,0.233542), diff:  (-0.000004,0.000001)
n:   38, t: 0.004750, x[n]:  (-0.987688,0.156434), y[n]:  (-0.987669,0.156532), y(t):  (-0.987673,0.156532), diff:  (-0.000004,0.000001)
n:   39, t: 0.004875, x[n]:  (-0.996917,0.078459), y[n]:  (-0.996906,0.078558), y(t):  (-0.996910,0.078558), diff:  (-0.000004,0.000000)
n:   40, t: 0.005000, x[n]: (-1.000000,-0.000000), y[n]:  (-0.999996,0.000099), y(t):  (-1.000000,0.000099), diff:  (-0.000004,0.000000)
n:   41, t: 0.005125, x[n]: (-0.996917,-0.078459), y[n]: (-0.996921,-0.078360), y(t): (-0.996925,-0.078360), diff: (-0.000004,-0.000000)
n:   42, t: 0.005250, x[n]: (-0.987688,-0.156435), y[n]: (-0.987700,-0.156336), y(t): (-0.987704,-0.156337), diff: (-0.000004,-0.000001)
n:   43, t: 0.005375, x[n]: (-0.972370,-0.233446), y[n]: (-0.972389,-0.233348), y(t): (-0.972393,-0.233349), diff: (-0.000004,-0.000001)
n:   44, t: 0.005500, x[n]: (-0.951056,-0.309017), y[n]: (-0.951083,-0.308922), y(t): (-0.951087,-0.308923), diff: (-0.000004,-0.000001)
n:   45, t: 0.005625, x[n]: (-0.923879,-0.382684), y[n]: (-0.923914,-0.382590), y(t): (-0.923918,-0.382592), diff: (-0.000004,-0.000001)
n:   46, t: 0.005750, x[n]: (-0.891006,-0.453991), y[n]: (-0.891048,-0.453900), y(t): (-0.891052,-0.453902), diff: (-0.000004,-0.000002)
n:   47, t: 0.005875, x[n]: (-0.852640,-0.522499), y[n]: (-0.852689,-0.522412), y(t): (-0.852692,-0.522414), diff: (-0.000003,-0.000002)
n:   48, t: 0.006000, x[n]: (-0.809017,-0.587785), y[n]: (-0.809072,-0.587703), y(t): (-0.809075,-0.587705), diff: (-0.000003,-0.000002)
n:   49, t: 0.006125, x[n]: (-0.760406,-0.649448), y[n]: (-0.760467,-0.649370), y(t): (-0.760470,-0.649373), diff: (-0.000003,-0.000002)
n:   50, t: 0.006250, x[n]: (-0.707107,-0.707107), y[n]: (-0.707174,-0.707034), y(t): (-0.707177,-0.707037), diff: (-0.000003,-0.000003)
n:   51, t: 0.006375, x[n]: (-0.649448,-0.760406), y[n]: (-0.649521,-0.760339), y(t): (-0.649524,-0.760341), diff: (-0.000003,-0.000003)
n:   52, t: 0.006500, x[n]: (-0.587785,-0.809017), y[n]: (-0.587863,-0.808956), y(t): (-0.587866,-0.808959), diff: (-0.000002,-0.000003)
n:   53, t: 0.006625, x[n]: (-0.522498,-0.852640), y[n]: (-0.522581,-0.852585), y(t): (-0.522583,-0.852588), diff: (-0.000002,-0.000003)
n:   54, t: 0.006750, x[n]: (-0.453990,-0.891007), y[n]: (-0.454077,-0.890958), y(t): (-0.454079,-0.890961), diff: (-0.000002,-0.000003)
n:   55, t: 0.006875, x[n]: (-0.382683,-0.923880), y[n]: (-0.382773,-0.923838), y(t): (-0.382775,-0.923842), diff: (-0.000002,-0.000004)
n:   56, t: 0.007000, x[n]: (-0.309017,-0.951057), y[n]: (-0.309110,-0.951022), y(t): (-0.309111,-0.951026), diff: (-0.000001,-0.000004)
n:   57, t: 0.007125, x[n]: (-0.233445,-0.972370), y[n]: (-0.233541,-0.972343), y(t): (-0.233542,-0.972347), diff: (-0.000001,-0.000004)
n:   58, t: 0.007250, x[n]: (-0.156434,-0.987688), y[n]: (-0.156532,-0.987669), y(t): (-0.156532,-0.987673), diff: (-0.000001,-0.000004)
n:   59, t: 0.007375, x[n]: (-0.078459,-0.996917), y[n]: (-0.078557,-0.996906), y(t): (-0.078558,-0.996910), diff: (-0.000000,-0.000004)
n:   60, t: 0.007500, x[n]:  (0.000000,-1.000000), y[n]: (-0.000099,-0.999996), y(t): (-0.000099,-1.000000), diff: (-0.000000,-0.000004)
n:   61, t: 0.007625, x[n]:  (0.078460,-0.996917), y[n]:  (0.078360,-0.996921), y(t):  (0.078360,-0.996925), diff:  (0.000000,-0.000004)
n:   62, t: 0.007750, x[n]:  (0.156435,-0.987688), y[n]:  (0.156336,-0.987700), y(t):  (0.156336,-0.987704), diff:  (0.000001,-0.000004)
n:   63, t: 0.007875, x[n]:  (0.233445,-0.972370), y[n]:  (0.233348,-0.972389), y(t):  (0.233349,-0.972393), diff:  (0.000001,-0.000004)
n:   64, t: 0.008000, x[n]:  (0.309017,-0.951056), y[n]:  (0.308921,-0.951084), y(t):  (0.308923,-0.951087), diff:  (0.000001,-0.000004)
n:   65, t: 0.008125, x[n]:  (0.382684,-0.923879), y[n]:  (0.382591,-0.923914), y(t):  (0.382592,-0.923917), diff:  (0.000001,-0.000004)
n:   66, t: 0.008250, x[n]:  (0.453991,-0.891006), y[n]:  (0.453900,-0.891048), y(t):  (0.453902,-0.891052), diff:  (0.000002,-0.000004)
n:   67, t: 0.008375, x[n]:  (0.522499,-0.852640), y[n]:  (0.522412,-0.852689), y(t):  (0.522414,-0.852692), diff:  (0.000002,-0.000003)
n:   68, t: 0.008500, x[n]:  (0.587785,-0.809017), y[n]:  (0.587703,-0.809072), y(t):  (0.587705,-0.809075), diff:  (0.000002,-0.000003)
n:   69, t: 0.008625, x[n]:  (0.649449,-0.760405), y[n]:  (0.649371,-0.760467), y(t):  (0.649373,-0.760470), diff:  (0.000002,-0.000003)
n:   70, t: 0.008750, x[n]:  (0.707107,-0.707107), y[n]:  (0.707034,-0.707174), y(t):  (0.707037,-0.707177), diff:  (0.000003,-0.000003)
n:   71, t: 0.008875, x[n]:  (0.760406,-0.649448), y[n]:  (0.760339,-0.649521), y(t):  (0.760342,-0.649523), diff:  (0.000003,-0.000003)
n:   72, t: 0.009000, x[n]:  (0.809017,-0.587785), y[n]:  (0.808956,-0.587863), y(t):  (0.808959,-0.587865), diff:  (0.000003,-0.000002)
n:   73, t: 0.009125, x[n]:  (0.852640,-0.522498), y[n]:  (0.852585,-0.522581), y(t):  (0.852588,-0.522583), diff:  (0.000003,-0.000002)
n:   74, t: 0.009250, x[n]:  (0.891007,-0.453991), y[n]:  (0.890958,-0.454077), y(t):  (0.890961,-0.454079), diff:  (0.000003,-0.000002)
n:   75, t: 0.009375, x[n]:  (0.923880,-0.382683), y[n]:  (0.923838,-0.382773), y(t):  (0.923842,-0.382775), diff:  (0.000004,-0.000002)
n:   76, t: 0.009500, x[n]:  (0.951057,-0.309016), y[n]:  (0.951022,-0.309110), y(t):  (0.951026,-0.309111), diff:  (0.000004,-0.000001)
n:   77, t: 0.009625, x[n]:  (0.972370,-0.233445), y[n]:  (0.972343,-0.233541), y(t):  (0.972347,-0.233542), diff:  (0.000004,-0.000001)
n:   78, t: 0.009750, x[n]:  (0.987688,-0.156434), y[n]:  (0.987669,-0.156532), y(t):  (0.987673,-0.156533), diff:  (0.000004,-0.000001)
n:   79, t: 0.009875, x[n]:  (0.996917,-0.078458), y[n]:  (0.996906,-0.078557), y(t):  (0.996910,-0.078558), diff:  (0.000004,-0.000000)
n:   80, t: 0.010000, x[n]:   (1.000000,0.000001), y[n]:  (0.999996,-0.000099), y(t):  (1.000000,-0.000099), diff:  (0.000004,-0.000000)
n:   81, t: 0.010125, x[n]:   (0.996917,0.078459), y[n]:   (0.996921,0.078360), y(t):   (0.996925,0.078360), diff:   (0.000004,0.000000)
n:   82, t: 0.010250, x[n]:   (0.987688,0.156435), y[n]:   (0.987700,0.156336), y(t):   (0.987704,0.156336), diff:   (0.000004,0.000001)
n:   83, t: 0.010375, x[n]:   (0.972370,0.233446), y[n]:   (0.972389,0.233348), y(t):   (0.972393,0.233349), diff:   (0.000004,0.000001)
n:   84, t: 0.010500, x[n]:   (0.951056,0.309018), y[n]:   (0.951083,0.308922), y(t):   (0.951087,0.308923), diff:   (0.000004,0.000001)
n:   85, t: 0.010625, x[n]:   (0.923879,0.382684), y[n]:   (0.923914,0.382590), y(t):   (0.923917,0.382592), diff:   (0.000004,0.000001)
n:   86, t: 0.010750, x[n]:   (0.891006,0.453991), y[n]:   (0.891048,0.453901), y(t):   (0.891052,0.453902), diff:   (0.000004,0.000002)
n:   87, t: 0.010875, x[n]:   (0.852640,0.522499), y[n]:   (0.852689,0.522412), y(t):   (0.852692,0.522414), diff:   (0.000003,0.000002)
n:   88, t: 0.011000, x[n]:   (0.809016,0.587786), y[n]:   (0.809072,0.587703), y(t):   (0.809075,0.587705), diff:   (0.000003,0.000002)
n:   89, t: 0.011125, x[n]:   (0.760406,0.649448), y[n]:   (0.760467,0.649370), y(t):   (0.760470,0.649373), diff:   (0.000003,0.000002)
n:   90, t: 0.011250, x[n]:   (0.707106,0.707107), y[n]:   (0.707174,0.707034), y(t):   (0.707177,0.707037), diff:   (0.000003,0.000003)
n:   91, t: 0.011375, x[n]:   (0.649448,0.760406), y[n]:   (0.649521,0.760339), y(t):   (0.649523,0.760342), diff:   (0.000003,0.000003)
n:   92, t: 0.011500, x[n]:   (0.587785,0.809017), y[n]:   (0.587863,0.808956), y(t):   (0.587865,0.808959), diff:   (0.000002,0.000003)
n:   93, t: 0.011625, x[n]:   (0.522498,0.852640), y[n]:   (0.522581,0.852585), y(t):   (0.522583,0.852588), diff:   (0.000002,0.000003)
n:   94, t: 0.011750, x[n]:   (0.453990,0.891007), y[n]:   (0.454077,0.890958), y(t):   (0.454079,0.890962), diff:   (0.000002,0.000003)
n:   95, t: 0.011875, x[n]:   (0.382683,0.923880), y[n]:   (0.382773,0.923838), y(t):   (0.382775,0.923842), diff:   (0.000002,0.000004)
n:   96, t: 0.012000, x[n]:   (0.309017,0.951057), y[n]:   (0.309110,0.951022), y(t):   (0.309111,0.951026), diff:   (0.000001,0.000004)
n:   97, t: 0.012125, x[n]:   (0.233445,0.972370), y[n]:   (0.233541,0.972343), y(t):   (0.233542,0.972347), diff:   (0.000001,0.000004)
n:   98, t: 0.012250, x[n]:   (0.156434,0.987688), y[n]:   (0.156531,0.987669), y(t):   (0.156532,0.987673), diff:   (0.000001,0.000004)
n:   99, t: 0.012375, x[n]:   (0.078458,0.996917), y[n]:   (0.078557,0.996906), y(t):   (0.078557,0.996910), diff:   (0.000000,0.000004)
n:  100, t: 0.012500, x[n]:  (-0.000000,1.000000), y[n]:   (0.000099,0.999996), y(t):   (0.000099,1.000000), diff:   (0.000000,0.000004)
n:  101, t: 0.012625, x[n]:  (-0.078459,0.996917), y[n]:  (-0.078360,0.996921), y(t):  (-0.078360,0.996925), diff:  (-0.000000,0.000004)
n:  102, t: 0.012750, x[n]:  (-0.156435,0.987688), y[n]:  (-0.156336,0.987700), y(t):  (-0.156337,0.987704), diff:  (-0.000001,0.000004)
n:  103, t: 0.012875, x[n]:  (-0.233446,0.972370), y[n]:  (-0.233348,0.972389), y(t):  (-0.233349,0.972393), diff:  (-0.000001,0.000004)
n:  104, t: 0.013000, x[n]:  (-0.309017,0.951056), y[n]:  (-0.308922,0.951083), y(t):  (-0.308923,0.951087), diff:  (-0.000001,0.000004)
n:  105, t: 0.013125, x[n]:  (-0.382684,0.923879), y[n]:  (-0.382591,0.923914), y(t):  (-0.382592,0.923917), diff:  (-0.000001,0.000004)
n:  106, t: 0.013250, x[n]:  (-0.453991,0.891006), y[n]:  (-0.453901,0.891048), y(t):  (-0.453902,0.891051), diff:  (-0.000002,0.000004)
n:  107, t: 0.013375, x[n]:  (-0.522499,0.852640), y[n]:  (-0.522412,0.852688), y(t):  (-0.522414,0.852692), diff:  (-0.000002,0.000003)
n:  108, t: 0.013500, x[n]:  (-0.587786,0.809017), y[n]:  (-0.587703,0.809072), y(t):  (-0.587705,0.809075), diff:  (-0.000002,0.000003)
n:  109, t: 0.013625, x[n]:  (-0.649449,0.760406), y[n]:  (-0.649370,0.760467), y(t):  (-0.649373,0.760470), diff:  (-0.000002,0.000003)
n:  110, t: 0.013750, x[n]:  (-0.707107,0.707106), y[n]:  (-0.707034,0.707174), y(t):  (-0.707037,0.707177), diff:  (-0.000003,0.000003)
n:  111, t: 0.013875, x[n]:  (-0.760406,0.649448), y[n]:  (-0.760339,0.649521), y(t):  (-0.760342,0.649523), diff:  (-0.000003,0.000003)
n:  112, t: 0.014000, x[n]:  (-0.809017,0.587785), y[n]:  (-0.808956,0.587863), y(t):  (-0.808959,0.587865), diff:  (-0.000003,0.000002)
n:  113, t: 0.014125, x[n]:  (-0.852641,0.522498), y[n]:  (-0.852585,0.522581), y(t):  (-0.852589,0.522583), diff:  (-0.000003,0.000002)
n:  114, t: 0.014250, x[n]:  (-0.891007,0.453990), y[n]:  (-0.890958,0.454077), y(t):  (-0.890962,0.454078), diff:  (-0.000003,0.000002)
n:  115, t: 0.014375, x[n]:  (-0.923880,0.382684), y[n]:  (-0.923838,0.382774), y(t):  (-0.923841,0.382775), diff:  (-0.000004,0.000002)
n:  116, t: 0.014500, x[n]:  (-0.951057,0.309016), y[n]:  (-0.951022,0.309110), y(t):  (-0.951026,0.309111), diff:  (-0.000004,0.000001)
n:  117, t: 0.014625, x[n]:  (-0.972370,0.233445), y[n]:  (-0.972343,0.233540), y(t):  (-0.972347,0.233541), diff:  (-0.000004,0.000001)
n:  118, t: 0.014750, x[n]:  (-0.987688,0.156434), y[n]:  (-0.987669,0.156531), y(t):  (-0.987673,0.156532), diff:  (-0.000004,0.000001)
n:  119, t: 0.014875, x[n]:  (-0.996917,0.078459), y[n]:  (-0.996906,0.078558), y(t):  (-0.996909,0.078558), diff:  (-0.000004,0.000000)
n:  120, t: 0.015000, x[n]: (-1.000000,-0.000001), y[n]:  (-0.999996,0.000098), y(t):  (-1.000000,0.000098), diff:  (-0.000004,0.000000)
n:  121, t: 0.015125, x[n]: (-0.996917,-0.078460), y[n]: (-0.996921,-0.078361), y(t): (-0.996925,-0.078361), diff: (-0.000004,-0.000000)
n:  122, t: 0.015250, x[n]: (-0.987688,-0.156435), y[n]: (-0.987700,-0.156337), y(t): (-0.987704,-0.156337), diff: (-0.000004,-0.000001)
n:  123, t: 0.015375, x[n]: (-0.972370,-0.233445), y[n]: (-0.972389,-0.233348), y(t): (-0.972393,-0.233349), diff: (-0.000004,-0.000001)
n:  124, t: 0.015500, x[n]: (-0.951056,-0.309017), y[n]: (-0.951084,-0.308921), y(t): (-0.951087,-0.308923), diff: (-0.000004,-0.000001)
n:  125, t: 0.015625, x[n]: (-0.923879,-0.382684), y[n]: (-0.923914,-0.382590), y(t): (-0.923918,-0.382592), diff: (-0.000004,-0.000001)
n:  126, t: 0.015750, x[n]: (-0.891006,-0.453991), y[n]: (-0.891048,-0.453900), y(t): (-0.891052,-0.453902), diff: (-0.000004,-0.000002)
n:  127, t: 0.015875, x[n]: (-0.852640,-0.522499), y[n]: (-0.852689,-0.522412), y(t): (-0.852692,-0.522414), diff: (-0.000003,-0.000002)
n:  128, t: 0.016000, x[n]: (-0.809017,-0.587785), y[n]: (-0.809072,-0.587703), y(t): (-0.809075,-0.587705), diff: (-0.000003,-0.000002)
n:  129, t: 0.016125, x[n]: (-0.760405,-0.649449), y[n]: (-0.760467,-0.649371), y(t): (-0.760470,-0.649373), diff: (-0.000003,-0.000002)
n:  130, t: 0.016250, x[n]: (-0.707106,-0.707108), y[n]: (-0.707173,-0.707035), y(t): (-0.707176,-0.707037), diff: (-0.000003,-0.000003)
n:  131, t: 0.016375, x[n]: (-0.649447,-0.760407), y[n]: (-0.649520,-0.760339), y(t): (-0.649523,-0.760342), diff: (-0.000003,-0.000003)
n:  132, t: 0.016500, x[n]: (-0.587785,-0.809017), y[n]: (-0.587863,-0.808956), y(t): (-0.587865,-0.808959), diff: (-0.000002,-0.000003)
n:  133, t: 0.016625, x[n]: (-0.522498,-0.852640), y[n]: (-0.522581,-0.852585), y(t): (-0.522583,-0.852588), diff: (-0.000002,-0.000003)
n:  134, t: 0.016750, x[n]: (-0.453990,-0.891007), y[n]: (-0.454077,-0.890958), y(t): (-0.454079,-0.890962), diff: (-0.000002,-0.000003)
n:  135, t: 0.016875, x[n]: (-0.382683,-0.923880), y[n]: (-0.382773,-0.923838), y(t): (-0.382775,-0.923842), diff: (-0.000002,-0.000004)
n:  136, t: 0.017000, x[n]: (-0.309016,-0.951057), y[n]: (-0.309110,-0.951022), y(t): (-0.309111,-0.951026), diff: (-0.000001,-0.000004)
n:  137, t: 0.017125, x[n]: (-0.233445,-0.972370), y[n]: (-0.233541,-0.972343), y(t): (-0.233542,-0.972347), diff: (-0.000001,-0.000004)
n:  138, t: 0.017250, x[n]: (-0.156433,-0.987689), y[n]: (-0.156530,-0.987669), y(t): (-0.156531,-0.987673), diff: (-0.000001,-0.000004)
n:  139, t: 0.017375, x[n]: (-0.078458,-0.996917), y[n]: (-0.078556,-0.996906), y(t): (-0.078557,-0.996910), diff: (-0.000000,-0.000004)
n:  140, t: 0.017500, x[n]:  (0.000001,-1.000000), y[n]: (-0.000099,-0.999996), y(t): (-0.000099,-1.000000), diff: (-0.000000,-0.000004)
n:  141, t: 0.017625, x[n]:  (0.078460,-0.996917), y[n]:  (0.078360,-0.996921), y(t):  (0.078361,-0.996925), diff:  (0.000000,-0.000004)
n:  142, t: 0.017750, x[n]:  (0.156435,-0.987688), y[n]:  (0.156336,-0.987700), y(t):  (0.156337,-0.987704), diff:  (0.000001,-0.000004)
n:  143, t: 0.017875, x[n]:  (0.233446,-0.972370), y[n]:  (0.233349,-0.972389), y(t):  (0.233349,-0.972393), diff:  (0.000001,-0.000004)
n:  144, t: 0.018000, x[n]:  (0.309018,-0.951056), y[n]:  (0.308922,-0.951083), y(t):  (0.308923,-0.951087), diff:  (0.000001,-0.000004)
n:  145, t: 0.018125, x[n]:  (0.382684,-0.923879), y[n]:  (0.382591,-0.923914), y(t):  (0.382592,-0.923917), diff:  (0.000001,-0.000004)
n:  146, t: 0.018250, x[n]:  (0.453991,-0.891006), y[n]:  (0.453901,-0.891048), y(t):  (0.453903,-0.891051), diff:  (0.000002,-0.000004)
n:  147, t: 0.018375, x[n]:  (0.522498,-0.852640), y[n]:  (0.522412,-0.852689), y(t):  (0.522414,-0.852692), diff:  (0.000002,-0.000003)
n:  148, t: 0.018500, x[n]:  (0.587785,-0.809017), y[n]:  (0.587703,-0.809072), y(t):  (0.587705,-0.809075), diff:  (0.000002,-0.000003)
n:  149, t: 0.018625, x[n]:  (0.649449,-0.760405), y[n]:  (0.649371,-0.760467), y(t):  (0.649373,-0.760470), diff:  (0.000002,-0.000003)
n:  150, t: 0.018750, x[n]:  (0.707107,-0.707106), y[n]:  (0.707034,-0.707174), y(t):  (0.707037,-0.707176), diff:  (0.000003,-0.000003)
n:  151, t: 0.018875, x[n]:  (0.760407,-0.649447), y[n]:  (0.760339,-0.649520), y(t):  (0.760342,-0.649523), diff:  (0.000003,-0.000003)
n:  152, t: 0.019000, x[n]:  (0.809018,-0.587784), y[n]:  (0.808956,-0.587863), y(t):  (0.808959,-0.587865), diff:  (0.000003,-0.000002)
n:  153, t: 0.019125, x[n]:  (0.852641,-0.522498), y[n]:  (0.852585,-0.522580), y(t):  (0.852589,-0.522582), diff:  (0.000003,-0.000002)
n:  154, t: 0.019250, x[n]:  (0.891007,-0.453990), y[n]:  (0.890958,-0.454076), y(t):  (0.890962,-0.454078), diff:  (0.000003,-0.000002)
n:  155, t: 0.019375, x[n]:  (0.923880,-0.382683), y[n]:  (0.923838,-0.382774), y(t):  (0.923842,-0.382775), diff:  (0.000004,-0.000002)
n:  156, t: 0.019500, x[n]:  (0.951057,-0.309017), y[n]:  (0.951022,-0.309110), y(t):  (0.951026,-0.309111), diff:  (0.000004,-0.000001)
n:  157, t: 0.019625, x[n]:  (0.972370,-0.233445), y[n]:  (0.972343,-0.233541), y(t):  (0.972347,-0.233542), diff:  (0.000004,-0.000001)
n:  158, t: 0.019750, x[n]:  (0.987689,-0.156433), y[n]:  (0.987669,-0.156531), y(t):  (0.987673,-0.156531), diff:  (0.000004,-0.000001)
n:  159, t: 0.019875, x[n]:  (0.996917,-0.078458), y[n]:  (0.996906,-0.078557), y(t):  (0.996910,-0.078557), diff:  (0.000004,-0.000000)
n:  160, t: 0.020000, x[n]:   (1.000000,0.000001), y[n]:  (0.999996,-0.000098), y(t):  (1.000000,-0.000098), diff:  (0.000004,-0.000000)
n:  161, t: 0.020125, x[n]:   (0.996917,0.078460), y[n]:   (0.996921,0.078361), y(t):   (0.996925,0.078361), diff:   (0.000004,0.000000)
n:  162, t: 0.020250, x[n]:   (0.987688,0.156435), y[n]:   (0.987700,0.156336), y(t):   (0.987704,0.156337), diff:   (0.000004,0.000001)
n:  163, t: 0.020375, x[n]:   (0.972370,0.233446), y[n]:   (0.972389,0.233348), y(t):   (0.972393,0.233349), diff:   (0.000004,0.000001)
n:  164, t: 0.020500, x[n]:   (0.951056,0.309017), y[n]:   (0.951083,0.308922), y(t):   (0.951087,0.308923), diff:   (0.000004,0.000001)
n:  165, t: 0.020625, x[n]:   (0.923879,0.382684), y[n]:   (0.923914,0.382591), y(t):   (0.923917,0.382592), diff:   (0.000004,0.000001)
n:  166, t: 0.020750, x[n]:   (0.891006,0.453991), y[n]:   (0.891048,0.453901), y(t):   (0.891051,0.453902), diff:   (0.000004,0.000002)
n:  167, t: 0.020875, x[n]:   (0.852639,0.522500), y[n]:   (0.852688,0.522413), y(t):   (0.852691,0.522415), diff:   (0.000003,0.000002)
n:  168, t: 0.021000, x[n]:   (0.809016,0.587786), y[n]:   (0.809071,0.587704), y(t):   (0.809075,0.587706), diff:   (0.000003,0.000002)
