Iteration n, Sampletime t (sec), Signal x[n] (real, img), Output y[n] (real, img), Actual_Output y(t) (real, img), Difference y(t)-y[n] (real, img)

Square Error : 1.29958e-07

n:    0, t: 0.000000, x[n]:   (1.000000,0.000000), y[n]:   (1.000000,0.000000), y(t):  (1.000000,-0.000099), diff:  (0.000000,-0.000099)
n:    1, t: 0.000125, x[n]:   (0.996917,0.078459), y[n]:   (0.996921,0.078360), y(t):   (0.996925,0.078360), diff:   (0.000004,0.000000)
n:    2, t: 0.000250, x[n]:   (0.987688,0.156434), y[n]:   (0.987700,0.156336), y(t):   (0.987704,0.156336), diff:   (0.000004,0.000001)
n:    3, t: 0.000375, x[n]:   (0.972370,0.233445), y[n]:   (0.972389,0.233348), y(t):   (0.972393,0.233349), diff:   (0.000004,0.000001)
n:    4, t: 0.000500, x[n]:   (0.951057,0.309017), y[n]:   (0.951084,0.308921), y(t):   (0.951087,0.308922), diff:   (0.000004,0.000001)
n:    5, t: 0.000625, x[n]:   (0.923880,0.382683), y[n]:   (0.923914,0.382590), y(t):   (0.923918,0.382592), diff:   (0.000004,0.000001)
n:    6, t: 0.000750, x[n]:   (0.891007,0.453991), y[n]:   (0.891048,0.453900), y(t):   (0.891052,0.453902), diff:   (0.000004,0.000002)
n:    7, t: 0.000875, x[n]:   (0.852640,0.522499), y[n]:   (0.852689,0.522412), y(t):   (0.852692,0.522414), diff:   (0.000003,0.000002)
n:    8, t: 0.001000, x[n]:   (0.809017,0.587785), y[n]:   (0.809072,0.587703), y(t):   (0.809075,0.587705), diff:   (0.000003,0.000002)
n:    9, t: 0.001125, x[n]:   (0.760406,0.649448), y[n]:   (0.760468,0.649370), y(t):   (0.760471,0.649372), diff:   (0.000003,0.000002)
n:   10, t: 0.001250, x[n]:   (0.707107,0.707107), y[n]:   (0.707174,0.707034), y(t):   (0.707177,0.707036), diff:   (0.000003,0.000003)
n:   11, t: 0.001375, x[n]:   (0.649448,0.760406), y[n]:   (0.649521,0.760338), y(t):   (0.649524,0.760341), diff:   (0.000003,0.000003)
n:   12, t: 0.001500, x[n]:   (0.587785,0.809017), y[n]:   (0.587863,0.808955), y(t):   (0.587866,0.808959), diff:   (0.000002,0.000003)
n:   13, t: 0.001625, x[n]:   (0.522498,0.852640), y[n]:   (0.522581,0.852585), y(t):   (0.522583,0.852588), diff:   (0.000002,0.000003)
n:   14, t: 0.001750, x[n]:   (0.453990,0.891007), y[n]:   (0.454077,0.890958), y(t):   (0.454079,0.890961), diff:   (0.000002,0.000003)
n:   15, t: 0.001875, x[n]:   (0.382683,0.923880), y[n]:   (0.382774,0.923838), y(t):   (0.382775,0.923841), diff:   (0.000002,0.000004)
n:   16, t: 0.002000, x[n]:   (0.309017,0.951057), y[n]:   (0.309110,0.951022), y(t):   (0.309112,0.951026), diff:   (0.000001,0.000004)
n:   17, t: 0.002125, x[n]:   (0.233445,0.972370), y[n]:   (0.233541,0.972343), y(t):   (0.233542,0.972347), diff:   (0.000001,0.000004)
n:   18, t: 0.002250, x[n]:   (0.156434,0.987688), y[n]:   (0.156532,0.987669), y(t):   (0.156533,0.987673), diff:   (0.000001,0.000004)
n:   19, t: 0.002375, x[n]:   (0.078459,0.996917), y[n]:   (0.078558,0.996906), y(t):   (0.078558,0.996910), diff:   (0.000000,0.000004)
n:   20, t: 0.002500, x[n]:  (-0.000000,1.000000), y[n]:   (0.000099,0.999996), y(t):   (0.000099,1.000000), diff:   (0.000000,0.000004)
n:   21, t: 0.002625, x[n]:  (-0.078459,0.996917), y[n]:  (-0.078360,0.996921), y(t):  (-0.078360,0.996925), diff:  (-0.000000,0.000004)
n:   22, t: 0.002750, x[n]:  (-0.156435,0.987688), y[n]:  (-0.156336,0.987700), y(t):  (-0.156336,0.987704), diff:  (-0.000001,0.000004)
n:   23, t: 0.002875, x[n]:  (-0.233445,0.972370), y[n]:  (-0.233348,0.972389), y(t):  (-0.233349,0.972393), diff:  (-0.000001,0.000004)
